it can be summarized as an error driven transformation based tagger	it can be summarized as an error driven transformation based tagger	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF>	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF>	PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN
this plan was first enacted in 1984 and continued to be followed for 19 years	this plan was first enacted in nineteen eighty four and continued to be followed for nineteen years	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _19 8 4_ <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _19_ <SELF>	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _19 8 4_ <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _19_ <SELF>	PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN DATE DATE DATE PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN CARDINAL PLAIN
she then compelled her tenants to level the royalist siege earthworks	she then compelled her tenants to level the royalist siege earthworks	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF>	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF>	PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN
kankakee mallow emerges	kankakee mallow emerges	<SELF> <SELF> <SELF>	<SELF> <SELF> <SELF>	PLAIN PLAIN PLAIN
papers from the american indian languages conferences held at the university of california santa cruz july and august 1991 	papers from the american indian languages conferences held at the university of california santa cruz july and august nineteen ninety one	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _19 9 1_	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _19 9 1_	PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN DATE DATE DATE DATE
china auto web	china auto web	<SELF> <SELF> <SELF>	<SELF> <SELF> <SELF>	PLAIN PLAIN PLAIN
january 22,2001 	january twenty second two thousand one	<SELF> _2 2 ,2 00 1_	<SELF> _2 2 ,2 00 1_	DATE DATE DATE DATE DATE DATE
the complex is not homogeneous	the complex is not homogeneous	<SELF> <SELF> <SELF> <SELF> <SELF>	<SELF> <SELF> <SELF> <SELF> <SELF>	PLAIN PLAIN PLAIN PLAIN PLAIN
he registered 35 caps for his country scoring 3 goals	he registered thirty five caps for his country scoring three goals	<SELF> <SELF> _3 5_ <SELF> <SELF> <SELF> <SELF> <SELF> _3_ <SELF>	<SELF> <SELF> _3 5_ <SELF> <SELF> <SELF> <SELF> <SELF> _3_ <SELF>	PLAIN PLAIN CARDINAL CARDINAL PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN
his contract will be until june 2015 	his contract will be until june twenty fifteen	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _20 15_	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> _20 15_	PLAIN PLAIN PLAIN PLAIN PLAIN DATE DATE DATE
one is the superior colliculus from the nigra lateralis	one is the superior colliculus from the nigra lateralis	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF>	<SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF> <SELF>	PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN PLAIN
